C,l1_ratio,peso,roc_auc,pr_auc,precision,recall,f2,accuracy,tp,fn,fp,tn
1.0,0.5,5,0.6657812694739161,0.219347903958485,0.24154397134898528,0.32757690232056125,0.3057934508816121,0.8011607368155438,607,1246,1906,12093
1.0,0.5,7,0.6657788793563891,0.21910643539831343,0.19517918088737202,0.4937938478143551,0.378099173553719,0.702813525107242,915,938,3773,10226
1.0,0.75,3,0.6657577152511895,0.21950289151891098,0.3127413127413127,0.13113869400971398,0.14836976431798754,0.8647489275801161,243,1610,534,13465
1.0,0.75,5,0.6658764115716075,0.219364792348404,0.24133811230585425,0.32703723691311387,0.30535120427290136,0.8011607368155438,606,1247,1905,12094
1.0,0.75,7,0.665842602973684,0.2191343385197379,0.1949242908935807,0.4932541824069077,0.3776547392777456,0.7026242745394903,914,939,3775,10224
1.0,1.0,3,0.6657767205405583,0.21947625229301826,0.3127413127413127,0.13113869400971398,0.14836976431798754,0.8647489275801161,243,1610,534,13465
1.0,1.0,5,0.6659597572827941,0.21938149936925322,0.24172317510969285,0.32703723691311387,0.30547434217158986,0.8014130709058794,606,1247,1901,12098
1.0,1.0,7,0.6659136511446908,0.2191590944035583,0.19518431706797357,0.49433351322180247,0.37835605121850474,0.7026242745394903,916,937,3777,10222
2.0,0.0,3,0.665271403434992,0.21934329692184296,0.3157894736842105,0.13275769023205614,0.15016481504089854,0.8650012616704517,246,1607,533,13466
2.0,0.0,5,0.6654070618797958,0.2191779660050265,0.24144789180588702,0.32757690232056125,0.3057626435623615,0.8010976532929599,607,1246,1907,12092
2.0,0.0,7,0.6654319653624168,0.21896960861785603,0.19522082355451248,0.4937938478143551,0.37813042400198366,0.7028766086298259,915,938,3772,10227
2.0,0.25,3,0.6653533613360018,0.2193564676895001,0.31666666666666665,0.1332973556395035,0.1507568359375,0.8650643451930355,247,1606,533,13466
2.0,0.25,5,0.665469089284652,0.21920862755488987,0.24154397134898528,0.32757690232056125,0.3057934508816121,0.8011607368155438,607,1246,1906,12093
2.0,0.25,7,0.6654897907864593,0.21898782135012723,0.19526248399487836,0.4937938478143551,0.3781616796164655,0.7029396921524098,915,938,3771,10228
2.0,0.5,3,0.665452165710549,0.2193598740231206,0.31498079385403327,0.13275769023205614,0.15012815818381545,0.8648750946252839,246,1607,535,13464
2.0,0.5,5,0.6655442623359074,0.2192213029035084,0.2412420382165605,0.32703723691311387,0.3053204353083434,0.8010976532929599,606,1247,1906,12093
2.0,0.5,7,0.6655512013867925,0.21898192569288227,0.19522082355451248,0.4937938478143551,0.37813042400198366,0.7028766086298259,915,938,3772,10227
2.0,0.75,3,0.6654935301638808,0.2193468321353927,0.3141025641025641,0.13221802482460873,0.1495361328125,0.8648120111027,245,1608,535,13464
2.0,0.75,5,0.6656289958572709,0.2192421314352374,0.24133811230585425,0.32703723691311387,0.30535120427290136,0.8011607368155438,606,1247,1905,12094
2.0,0.75,7,0.6656296897623595,0.21900191572449357,0.19526248399487836,0.4937938478143551,0.3781616796164655,0.7029396921524098,915,938,3771,10228
2.0,1.0,3,0.6655608389574663,0.21934559080569674,0.3141025641025641,0.13221802482460873,0.1495361328125,0.8648120111027,245,1608,535,13464
2.0,1.0,5,0.6656683171456198,0.21924929465950815,0.24164012738853502,0.32757690232056125,0.30582426440951227,0.8012238203381277,607,1246,1905,12094
2.0,1.0,7,0.6656846239151998,0.21902780976584146,0.19526248399487836,0.4937938478143551,0.3781616796164655,0.7029396921524098,915,938,3771,10228
